Model year,Make,Model,Vehicle class,Range 1 (km),Recharge time (h),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2021,Karma,"GS-6 (22"" Wheels)",Subcompact,87,6.25,10.8,360,60,10.0,7.0
2021,Karma,"Revero GT (21"" Wheels)",Subcompact,98,6.25,9.1,428,44,10.0,7.0
2021,Karma,"Revero GT (22"" Wheels)",Subcompact,87,6.25,10.8,360,60,10.0,7.0
2021,Kia,Niro Plug-in Hybrid,Station wagon: Small,42,2.25,5.1,853,56,10.0,7.0
2021,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,34,3.5,10.3,713,130,9.0,7.0
2021,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,45,3.4,7.1,644,73,10.0,7.0
2021,MINI,Cooper SE Countryman ALL4,Mid-size,29,3.0,8.0,451,109,9.0,3.0
2021,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,39,4.0,9.1,470,103,10.0,7.0
2021,Polestar,1,Minicompact,84,9.0,9.2,671,54,10.0,5.0
2021,Porsche,Cayenne E-Hybrid,Sport utility vehicle: Standard,27,3.0,11.3,666,160,7.0,5.0
2021,Porsche,Cayenne Turbo S E-Hybrid,Sport utility vehicle: Standard,24,3.0,13.0,578,199,6.0,3.0
2021,Porsche,Panamera 4 E-Hybrid,Full-size,31,3.0,10.8,745,144,8.0,5.0
2021,Porsche,Panamera Turbo S E-Hybrid,Full-size,27,3.0,12.1,665,171,7.0,3.0
2021,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,27,2.0,6.7,747,94,10.0,6.0
2021,Toyota,Prius Prime,Mid-size,40,2.0,4.3,995,49,10.0,7.0
2021,Toyota,RAV4 Prime,Sport utility vehicle: Small,68,4.5,6.0,911,44,10.0,7.0
2021,Volvo,S60 T8 AWD,Compact,35,3.0,7.8,781,94,10.0,7.0
2021,Volvo,S90 T8 AWD,Mid-size,34,3.0,7.9,761,99,10.0,7.0
2021,Volvo,V60 T8 AWD,Station wagon: Small,35,3.0,7.8,781,94,10.0,7.0
2021,Volvo,XC60 T8 AWD,Sport utility vehicle: Small,31,3.0,9.3,769,125,9.0,7.0
2021,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,29,3.0,8.8,813,120,9.0,7.0
2022,Audi,A7 Sportback 55 TFSI e quattro,Mid-size,42,3.0,8.6,623,78,10.0,7.0
2022,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,37,3.0,9.1,594,92,10.0,7.0
2022,Bentley,Flying Spur Hybrid,Mid-size,34,3.0,12.3,653,156,7.0,5.0
2022,BMW,330e Sedan,Compact,37,3.0,8.4,486,100,9.0,7.0
2022,BMW,330e xDrive,Compact,32,3.0,9.4,436,119,9.0,7.0
2022,BMW,530e xDrive,Mid-size,31,3.0,9.5,486,126,8.0,7.0
2022,BMW,745Le xDrive,Full-size,27,3.0,10.8,435,152,7.0,3.0
2022,BMW,X3 xDrive30e,Sport utility vehicle: Small,29,3.0,9.9,512,127,8.0,7.0
2022,BMW,X5 xDrive45e,Sport utility vehicle: Standard,50,5.0,11.5,602,110,9.0,7.0
